seoul	jeju
아니요 아니요 #사이당 불러주기 해가지고 하면	아니요 아니요 사이당 불러주기 하여그네 하민
자리에 붙어서 자리지키기 하고 잡혀온 사람들	팡에 붙엉들 팡지키기 하고 잽혀온 사람들
확 가서 툭 쳐가지고 다 살아서 도망가고	확 강으네 툭 쳐냉하믄 다 살앙 도망가불고
그게 무궁화꽃하고 같은거 아니?	그게 무궁화꽃하고 닮은거 아니?
나 말해줄께	나 고라줄께
거 완전 재미있어	거 완전 재미서
#사이당이	사이당이
만약에 우리 네 명이만 했잖아 그럼 한 팀이 두 명씩이잖아 그러면 두 개 그리는 거라 이렇게	만약에 우리 네 명이만 했잖아 그럼 혼 팀이 두 명씩이잖아 그러면 두 개 그리는 거라 이렇게
엄청 재미있어	잘도 재미서
그러면 이 선을 이거를 세 명이하면 세 개 그려	거믄 이 선을 이거를 세 명이하면 세 개 그려
여기에 xxx하나 있어 그러면 여기 넘어가는 거는 거	여기에 xxx하나 이서 거믄 여기 넘어가는 거는 거
그러면 이제 여기서 일로 넘어가야 하는데 못 넘어가게 막아야 하는 거야	거믄 이제 여기서 일로 넘어가야 하는데 못 넘어가게 막아야 하는 거라
그러면 못 넘어가게 하면 여기 한 사람이 넘어갔다	거믄 못 넘어가게 하면 여기 한 사람이 넘어갔다
이 사람이 또 이대로 넘어가려고 하면 막 여기서 손	이 사람이 또 이대로 넘어가젠 하믄 막 여기서 손
땡겨주고 그렇게해서 넘어가서 끝까지 가면 이기는거야	땡겨주고 겅행 넘어강 끝까지 가면 이기는거야
맞죠	기지양
자리에 하나 해서	팡 하나 행으네
우리 우리 동네에 #사이당은이	우리 우리 동네에 사이당은이
#사이당 이거	사이당 이거
#사이당은 자리를 하나 정해 놓고	사이당은 팡을 하나 정해 놓고
진돌이 아니야?	진돌이 아니?
진돌이 우린 진돌이라고 했는데	진돌이 우린 진돌이랜 해신디
자리 두 개를 놓아갔고	팡 두 개를 놓아갔고
하나 이 쪽 자리 이 쪽 자리 해가고 진돌이라고 해서	하나 이 쪽 팡 이 쪽 팡 해가고 진돌이라고 해서
이거는 밤에 그렇게 잘 놀아나서 여기	이거는 밤에 경 잘 놀아나서 여기
여기 동네에 이런 길에다가 여기 자리 하나 놓고	여기 동네에 이런 길에다가 여기 팡 하나 놓고
여기 자리 하나 놓고	여기 팡 하나 놓고
그건 어떻게하는거야?	그건 어떵하는거?
xxx막 집으로 밭으로 뛰어넘어서	xxx막 집으로 밭으로 튀어넘엉으네
여기 가서 이쪽 사람들이 여기 가서 점령하면 이기는 건데	여기 강으네 이쪽 사람들이 여기 강으네 점령하면 이기는 건데
여기 하다가 죽은 아이는 이쪽 아이는	여기 하당이네 죽은 아인 이쪽 아인
여기와서 손잡아 있었어 살려달라고 해가지고	여기왕 손잡아 이서난 살려주랜 해가지고
그러면 건들고가면 다 살아나고?	경허믄 거쳐가믄 다 살아나고?
탁 건들면 	탁 거치면 
우리는 자리 하나 가지고했어	우리는 팡 하나 가졍해서
우리 진돌이에게 하면 그렇게해서 이거 진돌이를	우리 진돌이에게 하면 영행이네 이거 진돌이를
그렇게 밤에 남에 담  넘어가면서	경 밤에 놈이 담  넘어가멍
거기 뚜껑	그디 뚜껑
오징어처럼 이렇게 그려서 하는거고	오징어처럼 영 그령이네 하는거고
#사이당 할 때는 하나 해서 두 편으로 나눠	사이당 할 때는 하나 행으네 두 편으로 나눠
쫓아가서 다 잡아버릴때까지 잡아 드릴 때까지	좇앙으네 다 잡아불때까지 잡아 드릴 때까지
다 잡아들이면 끝나는 거야	다 잡아들이면 끝나는 거주게
#사이당이 고산하고의	사이당이 고산하고의
#사이당이 틀리면 이제 이렇게 건너오면	사이당이 틀리면 이제 영 건너오면
나 적은 것 처럼 한 #사이당이	나 적은 것 처럼 한 사이당이
요걸 #사이당이라고 하더라고	요걸 사이당이랜 하더라고
저거 같아	저거 닮아
하시다리라고 했고	하시다리랜 했고
지우는건 없어	지우는건 어서
지우면서 하면이거 야 이거 진짜 오랜만에 생각난다	지우멍 하면이거 야 이거 진짜 오랜만에 생각남쪄이
이것만 이렇게하면 못넘어가죠	이것만 영허믄 못넘어가주
팔 잡아당기면서 하는거 생각나지양	팔 잡아땡기멍 하는거 생각나지양
#사이당 하다가 보니까 하시다리 진돌이는	사이당 하당 보난 하시다리 진돌이는
비슷한 놀이네 저거는 자리 두개를 나눠서	비슷한 놀이네 저거는 팡 두개를 나눠서
자리 두 개는 이 쪽 자리 저쪽 자리	팡 두 개는 이 쪽 팡 저쪽 팡
그리고 저기 가서 점령해도 이기는 거고	그리고 저기 강이네 점령해도 이기는 거고
여기 두 팀이라 여겨 온 이들이 여기 있고 여기 있어	여기 두 팀이라 여겨 온 이들이 여기 있고 여기 이서
그러면 사람 우리가 할 땐 맨 처음 여기서 일로 건너가 건너가서	거믄 사람 우리가 할 땐 맨 처음 여기서 일로 건너가 건너강
저기 발 짚으면 이기는거라	저기 발 짚으믄 이기는거라
우리는 오징어 다리만 했었어	우리는 오징어 다리만 해났져
이게 관건이야 먼저 넘어와 일로 간 가야 되니까 한 명	이게 관건이라 먼저 넘어와 일로 간 가야 되난 한 명
이제 여기왕 여기 넘어가려고 하니까	이제 여기왕 여기 넘어가젠 하니까
그냥 발 치면서	그냥 발 치멍
넘어오는거는 어떻게 막아?	넘어오는거는 어떵 막아?
사람이 막아 막 여기서 막아 막는데 여기 넘어와 일로 들어가면 분산 되잖아요	사람이 막아 막 여기서 막아 막는데 여기 넘어와 일로 들어가면 분산 되잖아양
분산되면 여기서도 막고 여기서도 막고 하는데	분산되면 여기서도 막고 여기서도 막고 허는디
이제 하나 뚫리면 이제 이제는 이게 넘어오면서	이제 하나 뚫르믄 이제 이제는 이게 넘어오면서
처음에는 무조건 다리를 막아야되 무조건 저기 가지는 다리를 건너 배달하여야 할까 요	처음에는 무조건 다리를 막아야되여 무조건 저기 가지는 다리를 건너 배달하여야 할까 요
무조건 저기 가려고하면 다리를 건너되요	무조건 저기 가젠하믄 다리를 건너되요
그런데 다리 하나 뚫리면 두 군데마다 막아야 되잖아	그런데 다리 하나 뚫려불믄 두 군데마다 막아야 되잖아
그냥 전부다 나도 넘고 너도 넘고 전부다	그냥 와랑와랑 나도 넘고 너도 넘고 와랑와랑
다 넘어 가버리고 하면 이제는	다 넘어 불젠카믄 이제는
못넘어가게 막 밀고 잡아댕기고 하고 저기 다리에서	못넘어가게 막 밀려불고 잡아댕겨불고 하고 저기 다리에서
밀려서 선 나가버리면 죽어	밀령 선 나가불면 죽어
그리고 이거는 이거는 어떤거야? 우리 이것도 했었죠 이거 있잖아요	그리고 이거는 이거는 무신거? 우리 이것도 했었죠 이거 있잖아요
달팽이 이거 달팽이	달팽이 이거 돌팽이
나는 xxx잘 안했어	나는 xxx잘 안해난
저건 모르겠다	저건 모르켜
달팽이 같이 그려서 이렇게했는데?	돌맹이 같이 그려난 영해나신디?
아니 우리는 이렇게 그려서 했었어 에스자로	아니 우리는 이렇게 그령해난 에스자로
놀이가 엄청 웃기긴 하다	놀이가 잘도 웃기긴 하다
문을 그냥 열어서 냅눠 그냥 자꾸 소리나 녹음하는데 잡소리들어 가면 그렇잖아	문을 그냥 열엉 내부러 그냥 자꾸 소리나 녹음하는디 잡소리들어 가면 그렇잖아
달팽이집은	돌팽이집은
그냥 달팽이 집 그려	그냥 돌멩이 집 그려
그렇게하면 계속 	겅했딘하믄 계속 
계속 돌면서 하는데 시작해서 돌면 이제 막 이제 누가 누가 빨리 나가	계속 돌멍 하는데 시작행 돌면 이제 막 이제 누가 누가 빨리 나가
그렇게해서 싸우는 거고 하여튼 다 몸싸움이야	영행으네 싸우는 거고 하여튼 다 몸싸움이야
이제는 그런 것이 없는데	이제는 그런 것이 어신디
하나도 없어이젠 	하나도 어성이네 
손바닥으로 이렇게 올리는 걸 못해	손바닥으로 영 올리는 걸 못해
봐 이게	보라 이게
다 어디가버렸어	다 어디가부런
이 십 칠 분 뿐이 안했어	이 십 칠 분 뿐이 안해서
혼자서라도 말해봐	혼저 고라봐
하고있어	허맨
나  말했잖아 나 저	나  고랐잖아 나 저
말하려고 했는데 우리 집이 우리 집이 뱀	곧젠허난 해신디 우리 집이 우리 집이 배염
우리집이 우리 법당 알겠어?	우리집이 우리 법당 알아져?
야 요번에 가보니까 너무 작아버려서 부르니 우물도 두 개씩 있던거	야 요번에 가보난 너무 족아부런 부르니 물통도 두 개씩 이서난거
우물하나는 있어xxx	물통하나는 있어xxx
집 안에 화단도 #육화랑 동그란 화단에서 난거 다 없어져버렸어 	집 안에 화단도 육화랑 똥글랑 화단에서 난거 다 어서져부런 
어머니은 또 따로 여기 초가집에 살았었는데	어멍은 또 따로 여기 초가집에 살아나신디
그때 그 뱀이 구렁이라이 살무사는 아니라이	그때 그 배염이 구렝이라이 물페기는 아니라이
통구렁이	통구랭이
그 저xxx 새끼돼지 먹어버려서	그 저xxx 독새기 먹어부난
그래서 그게 아궁이에 가서 돼지가 새끼돼지를 낳아신디	게난 그게 굴묵에 강 독이 독새기를 낳아신디
아궁이에 가서 계속 구렁이가 먹어버린거야? 뱀이	굴묵에 강 계속 구렝이가 먹어분거아니? 배염이
그래서 돼지가 방에 들어와서 이불밑에 새끼돼지를 낳았어	게난이 독이 방에 들어완 이불밑이 독새기를 난게
아 진짜 이불밑에 아니 우리 돼지가 뱀이 골목에 간	아 진짜 이불밑이 아니 우리 독이 배염이 골목에 간
자꾸 새끼돼지 낳은걸 먹으니까 이제는 집이	자꾸 독새기난걸 먹어가난 이제는 집이
구들에 보면 이불이렇게 없는 집은 구석에 이불 놔두잖아	구들에 보믄 이불영 어신 집은 구석에 이불 놔두잖아
그 방은 작은 방이난 구들 구석에 이불을 놓았는데 거기와서 새끼돼지를 낳은거야	그 방은 족은 방이난 구들 구석에 이불을 놔둬신디 거기완 독새기를 낳아놘
뱀이 구들 까지 들어온거 아니 	배염이 구들 까지 들어온거 아니 
우리 아버지가 어떻게 잡았는데 있잖아이 안 보이잖아 우리가	우리 아방이 어떵 잡아신디 있잖아이 안 보이잖아 우리가
아버지 저기 뱀 들어간 새끼돼지 먹고있어요 하니까 우리 아버지	아버지 저기 배염 들어간 독새기 먹어불맨 허난 우리 아버지
보이지도 않으면서	보이지도 않으멍
몽둥이 진짜 몽둥이 가져가서	망댕 진짜 망댕이 가져강
이렇게 하면서 그러니까	영 허맨 겅하난이
우리는 또 얼마나 무서워 아버지 뱀 물면 어떡하지	우리는 또 얼마나 머숩나 아버지 배염 물면 어떵하나
뱀물어요 막 해도 우리 아버지는이 그냥 보이지도 않는데 막 이렇게 하는거야	배염물맨 막 해도 우리 아버지는이 그냥 보이지도 않는데 막 영 하는거라
우리가 보니까 뱀은 진짜 새끼돼지 먹어서 목에 동그랗게 걸려져서 있어	우리가 보난이 배염은 진짜 독새기 먹엉이 목에 동글락 걸러정 이서
xxx동글락하게 입고 걸려져서 있어	xxx동글락하게 입고 걸려정 이서
그건 안 먹는 뱀인가?	그건 안 먹는 배염인가?
그 사고날 때 박살나서	그 사고날 때 박살나부난
이번에 꽁폰인가 해서	이번에 꽁폰인가 해그넹
아이폰 엑스알인가? 바꿨지 #게	아이폰 엑스알인가? 바꿨주 게
해서	해그넹
해그넹이 뭔 말이야?	해그넹이 뭔 말?
십일 까지 나왔는데 좀 바꾸라 #게 꽁폰 나왔는데	십일 까지 나와신디 좀 바꾸라게  꽁폰 나와신디
세븐 돈으로 바꾼 거 아니였어?	세븐 돈으로 바꾼 거 아니연?
세븐 어제 팔았지 당근마켓해서	세븐 어제 팔았지 당근마켓해그넹
그래서 그건 얼마에 샀어?	겡 그건 얼마에 산?
이번에 아이폰 십이 까지 나왔잖아	이번에 아이폰 십이 까지 나왔네
얘네 재고 정리하려고	야이네 재고 정리하잰
공짜로 푼 것 같아.	공짜로 푼 것 닮아.
너 거가 더 좋은거 아니냐?	너 게 더 좋은거 아니냐?
왜 공짜폰으로 바꾸나?	무사 공짜폰으로 바꾸나?
아 너 할부가 다 끝난 거야?	아 너 할부가 다 끝난 거?
할부가 다 끝나고 바꾼 거야?	할부가 다 끝나고 바꾼 거?
그럼 기기값 없어?	그럼 기기값 어서?
없어.	어서.
한 달에 사만 원 내나?	한 달에 사만 원 냄신가?
그거까지 해서 하면은 싸지거든?	그거까지 해가지고 하면은 싸지거든?
아 나는 돈을 벌어도 더 어디다 내는지 모르게 없어져.	아 나는 돈을 벌어도 더 어디다 내치는지 모르게 없어져.
엄마아빠는?	어멍아방은?
아빠는 모르겠어	아빠는 모르겐
너 동생 없어?	너 동생 어서?
있는지 잘 모르겠어	있는지 잘 모르겐
오빠는?	오라방은?
오빠 없어.	오라방 없어.
알바비 십육만 원 받았지 삼 일 일해서	알바비 십육만 원 받았지 삼 일 일해그넹
지금 한 삼만 원 있나?	지금 한 삼만 원 이신가?
쓰다보니까 술 먹다 보니까	쓰당보난 술 먹다 보난
너 알바할 때 받은 걸로 술 마셔서 다 썼나?	너 알바할 때 받은 걸로 술 마셩 다 썼나?
그렇게 계속 마시면 너	겅 구짝 마시면 너
몸 가버려	몸 가부러
술 별로 안 먹었어 #게	술 별로 안 먹었져 게
너 얼굴도 맛탱이 갔잖아 지금 술 맨날 먹으니까	너 얼굴도 맛탱이 갔잖아 지금 술 맨날 먹어부난
요즘 코로나 때문에 그렇게 가서 마시면 어떡해?	요즘 코로나 때문에 겅 가그넹 마시면 어떵?
집에서 마셔야지	집에서 마셔사주
기분 안 좋다고 한 잔.	기분 안 좋댄 한 잔.
합격했다고 한 잔.	합격했댄 한 잔.
떨어질 땐 한 잔 이렇게 먹는 거야.	떨어질 땐 한 잔 영 먹는 거라.
그래서 오늘 술 마실 거야?	그래서 오늘 술 마실 거?
입술이 그냥 하얀색인데?	입술이 그냥 하얀색인디?
 이제 앞으로의 계획이 어떻게 돼?	 이제 앞으로의 계획이 어떵 돼?
아 헬스 언제부터 할거야?	아 헬스 언제부터 할거?
그렇게 해야지	겅 해사주
너 원래 어디 다녔었어?	너 원래 어디 다녔언?
우리  몰라?  결혼식 유명했었는데	우리  몰라?  결혼식 유명했어신디
나 한 번도 본 적 없어.	나 한 번도 본 적 어서.
아 그래?	아 기?
이름만 들으니까	이름만 들어부난
네 조카라고 하는데	네 조카랜 햄신디
 아니야?	 아니?
트레이너 분 트레이너 그만뒀다고 하던데	트레이너 분 트레이너 그만뒀댄 하던디
 다니자	 다니게
아 나는 그게 뭔말  트레이너 아니였어?	아 나는 그게 뭔말  트레이너 아니연?
그거 어떻게 공짜로 받았어?	그거 어떵 공짜로 받안?
우리 사장님이 일 년 이 년 어치 줬는데 지금	우리 사장님이 일 년 이 년 어치 줘신디 지금
정지했는데 정지 기간이	정지해신디 정지 기간이
한 두 달인가 된다고 하니까 #이	한 두 달인가 된댄 해부난 이
지금 풀렸을 거야 도	지금 풀렸을 거라 도
나도 그럼 빨리 해야겠어 이제	나도 그럼 빨리 해야겐 이제
아니 그러니까 나 이번에 시험 본다고 해서 정지했거든	아니 그러니까 나 이번에 시험 본다고 행 정지했주게
아 근데 #이 몰라 나는 #이	아 근데 이 몰라 나는 이
올라오긴 올라오는데 이 뒤로 안 재껴져서 살이 너무 땡겨 여기가 완전	올라오긴 올라오는데 이 뒤로 안 재껴져부난 살이 너무 땡겨 여기가 완전
겨드랑이 털 완전 땡겨서 수술해서	겨드랑이 털 완전 땡경 수술해부난
근데 살찌워서 늘어나는 거랑 그	겐디 솔찌워그넹 늘어나는 거랑 그
꼬매서 늘어나는 거랑은 틀려서	꼬매그넹 늘어나는 거랑은 틀려부난
아니 이렇게 꼬맨 다음에	아니 영 꼬맨 다음에
이것도 늘어나는 살이래	이것도 늘어나는 살이랜
늘어나는 살이래 의사가요	늘어나는 살이랜 의사가마씸
그러게#이 어떻게 할 거야?	게매이 어떵 할 거라?
야 너네는 이거 안 땡겨 이렇게 올릴 때?	야 너네는 이거 안 땡겨 영 올릴 때?
땡기는 그런 거 없어?	땡기는 그런 거 언?
나처럼은 아니지 난 완전히 이렇게 모아서	나처럼은 아니지 난 완전히 영 모아부난
그렇구나	기구나
난 이거 빨리 해서	난 이거 빨리 행
상처 좀 나아가면	상처 좀 나아가믄
이렇게 수영해서	영 수영해그넹
싹 팔 돌리면	싹 팔 돌리믄
살 좀 늘어날줄 알았는데	살 좀 늘어날줄 알아신디
그렇게 해서 빨리 복귀해야 되는데	경 행 빨리 복귀해야 되는디
미쳐버리겠어 모가지 아파서	미쳐부크라 모가지 아파그넹
빨리 회복해서 내년 여름에	빨리 회복행 내년 여름에
바다 가서 바다가서 다이빙 한 번 하고 #이	바다 강 바당가그넹 삿가당 한 번 하고이 
바다? 다이빙?	바당? 삿가당?
얘 원래 쓰리잡 뛰고 있었어	야이 원래 쓰리잡 뛰고 있언
그러니까 그건 사업주 마음인데	그러니까 그건 사업주 마음인디
아 너는 안 주기 때문에 그냥 따로 다니는 거야?	아 너는 안 주기 때문에 그냥 따로 다니는 거?
또 내 맥 끊겨서	또 내 맥 끊겨그넹
보통은 그런 데 그렇게 해	보통은 그런 데 겅 해
아니면 일찍 가서 출근하기 전에 운동해서	아니면 일찍 가서 출근하기 전에 운동해그넹
지금은 그러고 있었어?	지금은 그러고 있언?
너 닭집 아르바이트해서	너 독집 아르바이트해그넹
닭집 아르바이트해서	독집 아르바이트해그넹
닭집 아르바이트해서	독집 아르바이트해그넹
그 엄마한테 오토바이 안한다고 하고	그 엄마한테 오토바이 안한댄 하고
너 오토바이 배달이였는데	너 오토바이 배달이여신디
오토바이 안한다고 하고 너무 힘드니까	오토바이 안한댄 하고 너무 힘드니까
주방에서 닭튀긴다고 해서	주방에서 독튀겸댄 해그넹
 엄마 막 걱정해	 어멍 막 걱정햄서
얘 원래 쓰리 잡 뛸때 엄마가 걱정할까봐	야이 원래 쓰리 잡 뛸때 엄마가 걱정할까봐
근데 엄마는 배달뛰는지 몰랐어?	근데 엄마는 배달뛰는지 몰란?
그런데 이번에 수술하면서 다 걸렸지.	그런데 이번에 수술하멍 다 걸렸지.
매니저형이 전화해서	매니저형이 전화해부난
얘 일어나자마자 뭔 치킨집에서	야이 일어나자마자 뭔 치킨집에서
주방에서 일한다고 구라쳤냐고 하면서	주방에서 일한댄 구라쳤냐고 하멍
그래서 걸렸어? 그래서 뭐래?	그래서 걸련? 그래서 뭐랜?
그래도 그 전에도 막 의심했었어	겅해도 그 전에도 막 의심했언
 일 끝나서 왔는데	 일 끝낭 와신디
닭집에서 일하는데 기름 냄새도 한 방울 안나서	닭집에서 일하는디 기름 냄새도 한 방울 안나그넹
피부만 까매 있는 거 아냐?	피부만 거멍돼 있는 거 아냐?
엄마가 의심할 만도 하겠어 진짜	엄마가 의심할 만도 하겐 진짜
자전거는 팔았어?	자전거는 팔안?
집에 있어	집에 이서
자전거 집에 있어?	자전거 집에 이서?
옛날엔 타던 거는 선수가 쓰던 거였어서	옛날엔 타던 거는 선수가 쓰던 거였어가지고
탈 수는 있는데	탈 수는 이신데
오토바이 사고났는데 그거 자전거 또 몰려고?	오토바이 사고나신디 그거 자전거 또 몰잰?
트라우마도 없어 기억 하나 도 안나서	트라우마도 어서 기억 하나 도 안나부난
자전거 이렇게 들고	자전거 영 들고
너네 집 아래 끌어 와서 보라 엄마한테	너네 집 아래 끄성 왕 보라 엄마한테
그니까 #이	게난 이
마음은 있는데 그 살 때도 막	마음은 이신디 그 살 때도 막
제주도 캠핑같은 거 많이 가잖아	제주도 캠핑같은 거 많이 가네
친한 형들 오토바이 타서	친한 형들 오토바이 타그네
텐트랑 이런거 실어서	텐트랑 이런거 실어가지고
막 놀러가는 거야 그래서 같이 가려고	막 놀러가는 거라 겅행 같이 가잰
그렇게 샀다가	겅 샀다가
사고나서	사고나그넹
그거 얼마에 샀어?	그거 얼마에 산?
근데 그것도 다 물어줘?	근데 그것도 다 물어주맨?
그거 이제 완전 조금 남아서	그거 이제 완전 조금 남아부난
그때 얼마 갚았어?	그때 얼마 갚안?
아니야 좀 깎아서 한 팔백 했나?	아니야 좀 깎아그넹 한 팔백 해신가?
얼마 얼마만에 갚았어?	얼마 얼마만에 갚안?
뭔 말? 너 사고냈었어?	뭔 말? 너 사고냈언?
졸음운전해서 엄마 태워서 졸음운전해서 가드레일 박아버렸어.	졸음운전행 엄마 태워가지고 졸음운전행 가드레일 박아부런.
완전 쌩돈 날아갔어 그 때	완전 쌩돈 날라간 그 때
아 근데 그 차가 렌트카였던 거야?	아 근데 그 차가 렌트카였던 거?
차 한 바퀴 돌았어	차 한 바퀴 돌안
야 어머니도 주무시고 계셨던 거야?	야 어머니도 주무시고 계셨던 거?
아니 엄마 옆에 타 있는데	아니 엄마 옆에 타 이신디
엄마는 멀뚱멀뚱하지 근데 갑자기 가다가 나 졸려서	엄마는 멀뚱멀뚱하지 근데 갑자기 가다가 나 조라와가지고
가드레일 박고 한 바퀴 돌아서	가드레일 박고 한 바퀴 돌아부난
그런데 왜 졸 정도로 운전하면서 그렇게 피곤했어?	그런데 왜 졸 정도로 운전하면서 그렇게 피곤핸?
아 그때 감기 걸려서 아침에 감기약 먹고 막 하다가	아 그때 감기 걸려부난 아침에 감기약 먹고 막 하당
조카 고산에 살아서	조카 고산에 살아부난
데려다 줬다가 집에 오는데	데려다 줬당 집에 왐신디
그래서 얘는 바퀴달린 거 탈 수가 없다니깐?	겡 야이는 바퀴달린 거 탈 수가 없다니깐?
그니까 #이	게난 이
자전거도 사고났어?	자전거도 사고난?
얘 버스 이렇게 잡고 달린다니까? 버스 옆에 이렇게 잡고	야이 버스 영 잡앙 달린다니까? 버스 옆에 영 잡고
그 때 돈 많이 받았는데	그 때 돈 많이 받아신디
그 때 돈 많이 받았는데	그 때 돈 많이 받아신디
그다음에 오토바이도 할부 때린 거야?	그다음에 오토바이도 할부 때린 거?
거의 이백사십 벌었어?	거의 이백사십 벌언?
그렇지	기지
삼백 좀 넘었어 그 때	삼백 좀 넘언 그 때
이제 공부도 해야 되고 그래서	이제 공부도 해야 되고 겅행
진짜 열심히 살았다 #이	진짜 열심히 살았다 이
그런데 원래 그런 상황 오면 #이 그렇게 탈 수 밖에 없어 맞지?	그런데 원래 그런 상황 오면이  겅 탈 수 밖에 어서 맞지?
진짜 사람할 짓 아니야	진짜 사람할 짓 아니
잠도 잘 못 자고 야간도 있었거든? 그래서	잠도 잘 못 자고 야간도 있었거든? 그래가지고
그게 더 힘들 거 같아.	그게 더 힘들 거 닮아.
왜 너는 어떻게 세 탕인데?	왜 너는 어떻게 세 탕인디?
근데 그렇게 불규칙하잖아 그거는	근데 그렇게 불규칙하네 그거는
그러게#이 인생 참 벅찬 거야	게매이 인생 참 벅찬 거라
그래서 그 오토바이 아예 그 뭐했어? 폐차시켰어?	겅해가지고 그 오토바이 아예 그 뭐핸? 폐차시켠?
돈 안 나왔어?	돈 안 나완?
이거는 수리가 안 될 것 같다 해서 돈 나왔지.	이거는 수리가 안 될 것 같다 해그넹 돈 나왔지.
오토바이 그 부품 좀 팔아서 돈 나왔어?	오토바이 그 부품 좀 팔앙 돈 나완?
다시 받는 거야? 돈을	다시 받는 거? 돈을
그 친구가 화나서 답장도 안했어 막 놀려서	그 친구가 화나가지고 답장도 안핸 막 놀려부난
그랬는데	겅해신디
새벽에 카톡이 온 거야?	새벽에 카톡이 온 거라?
차가 아예 반파된 거야?	차가 아예 반파된 거?
알고 보니까 뒤에서 차가 밀어서	알고 보니까 뒤에서 차가 밀어가지고
그 사람은 거의 죽을 뻔하고 차는 아예 반파되서	그 사람은 거의 죽을 뻔하고 차는 아예 반파되가지고
그날 산 거 있어서 이제 전손처리	그날 산 거 있어가지고 이제 전손처리
다 해주는 거야 그냥 그 차.	다 해주는 거 그냥 그 차.
어 보험처리해서	어 보험처리해가지고
그래도 다행이다 차라리 차라리 그냥 이만큼 하고	그래도 다행이다 차라리 차라리 그냥 이만치 하고
진짜 #이 참 어떻게 그렇게 사자마자 그렇게 되냐이	진짜이 
기아 있는 거야?	기아 있는 거?
그럼 그거 일 종 있으면 그냥 탈 수 있어?	그럼 그거 일 종 있으면 그냥 탈 수 인?
아 그래?	아 기?
아 그렇구나.	아 기구나.
난 지금 일 종 보통 따고 #이 일 종 보통을 본 적이 없어	난 지금 일 종 보통 따고이  일 종 보통을 본 적이 언
그거 일 종은 #이	그거 일 종은 이
안 타면#이	안 타믄이
못 타겠던데?	못 타겠던디?
그런데  너 내 생각에는 스틱 아니어도 오토여도 너는 잘 못 몬다고 이렇게 생각이 드는데?	그런데  너 내 생각에는 스틱 아니어도 오토여도 너는 잘 못 몬다고 이렇게 생각이 드는디?
옆에서 몰았거든?	옆에서 몰았주게?
뭐 몰았어?	뭐 몰안?
뭐 쏘카했어?	뭐 쏘카핸?
어 쏘카했는데 @상호명10이였나?	어 쏘카해신디 @상호명10여신가?
얘가 운전하다가 내가	야이가 운전하당 내가
나 나 오랜만에 해볼게 했는데 막 하지 말라고 그래서 나 했는데	나 나 오랜만에 해보크라 해신디 막 하지 말랜 겅행 나 해신디
내가 좀 질주하는 본능이 있어?	내가 좀 질주하는 본능이 이서?
옆에서 막 뭐라고 하면서#이	옆에서 막 뭐랜 하멍이
나 못 믿어서	나 못 믿어그넹
뭔 소리? 처음에만 그랬지 그거 렌트니까 내 차 아니니까	뭔 소리? 처음에만 겅했지 그거 렌트니까 내 차 아니니까
는 운전 계속했었어?	는 운전 계속했언?
옛날에는 뭐 베스트 드라이버라고 존나 하는데 얘 차 모는거 보면 #이	옛날에는 뭐 베스트 드라이버라고 존나 하는디 야이 차 모는거 보면이 
 차 있어?	 차 이서?
도 차 있고 도 차 있어?	도 차 있고 도 차 이서?
어 지금 다 있어	어 지금 다 인
거즘 우리 우리만 좀 찐따야.	거즘 우리 우리만 좀 찐따라.
브레이크 없는데	브레이크 어신디
브레이크 없어	브레이크 어서
뛰어 다녀야지	뛰어 댕겨야지
제주도에 그거 전기자전거 빌려주는 거 있는데 어플	제주도에 그거 전기자전거 빌려주는 거 이신디 어플
너는 왜 브레이크 없는 것만 사는 거야?	너는 왜 브레이크 없는 것만 사는 거?
좀 브레이크를 잡고 살아.	좀 브레이크를 잡앙 살아.
그거 브레이크 없어?	그거 브레이크 언?
없어.	어서.
그거 브레이크 없어	그거 브레이크 언
아니 발로 툭 이렇게 해야 된대	아니 발로 툭 이렇게 해야 된댄
근데 만약에 너무 빨라서 이렇게 안 되면?	근데 만약에 너무 빨라가지고 이렇게 안 되면?
그러니까 그걸 잡는 거야	그러니까 그걸 잡는 거
그렇게 그런 식으로 하는 거야	그렇게 그런 식으로 하는 거
그럼 완전 위험한 거잖아 브레이크 있으면 이렇게 딱 잡으면 되는데	그럼 완전 위험한 거잖아 브레이크 있으면 이렇게 딱 잡으면 되는디
보통 웹툰 같은 거 있어? 자전거 웹툰.	보통 웹툰 같은 거 이서? 자전거 웹툰.
그거 따라해서#이 막 진짜 다치는 애들 많았었어	그거 따라해가지고이 막 진짜 다치는 애들 많았언
그린 거야? 웹툰에	그린 거? 웹툰에
그러다가 사고 많이 나니까 브레이크 그려서	그러다가 사고 많이 나니까 브레이크 그려가지고
그래서 아무튼	겅해서 아무튼
맞잖아  이거 졸라 싼 거야	맞네  이거 졸라 싼 거라
인터넷에서 사도 되는데 나 이거 예전에  일할 때 알았어?	인터넷에서 사도 되는디 나 이거 예전에  일할 때 알안?
무지티에다가 이거 맨투맨도 있어	무지티에다가 이거 맨투맨도 이서
아니 막 그 막 늘어난다는 그런 게 없어	아니 막 그 막 늘어난다는 그런 게 언
근데 대신에 그거 부드럽지는 않잖아	근데 대신에 그거 부드럽지는 않네
니가 작은 걸 산 거 아니야?	니가 작은 걸 산 거 아니?
근데 저거 투엑라까지 나오는 것 같던데?	근데 저거 투엑라까지 나오는 것 같던디?
